Date,Price,Open,High,Low,Vol.,Change %
08/29/2023,1729.69,1653.22,1742.83,1640.29,528.63K,4.63%
08/28/2023,1653.22,1658.34,1660.8,1628.79,229.39K,-0.31%
08/27/2023,1658.33,1647.05,1660.11,1646.35,94.20K,0.68%
08/26/2023,1647.05,1653.74,1655.58,1644.04,84.34K,-0.40%
08/25/2023,1653.74,1661.18,1676.13,1636.77,250.86K,-0.43%
08/24/2023,1660.89,1679.93,1683.03,1642.45,246.62K,-1.13%
08/23/2023,1679.93,1634.3,1697.63,1629.86,399.71K,2.79%
08/22/2023,1634.29,1667.6,1669.22,1588.36,424.51K,-2.00%
08/21/2023,1667.6,1685.24,1686.11,1651.77,265.91K,-1.05%
08/20/2023,1685.24,1669.68,1692.47,1662.82,205.82K,0.93%
08/19/2023,1669.67,1661.27,1693.88,1654.35,243.31K,0.51%
08/18/2023,1661.26,1681.51,1698.77,1646.32,572.90K,-1.34%
08/17/2023,1683.89,1807.81,1809.81,1560.88,876.70K,-6.85%
08/16/2023,1807.81,1828.98,1831.52,1803.31,217.47K,-1.16%
08/15/2023,1828.98,1845.51,1847.35,1816.32,196.60K,-0.90%
08/14/2023,1845.51,1840.73,1856.48,1835.9,158.11K,0.26%
08/13/2023,1840.73,1849.94,1861.5,1835.51,126.51K,-0.50%
08-12-2023,1849.94,1848.88,1853.54,1846.13,66.93K,0.06%
08-11-2023,1848.88,1852.46,1857.17,1840.65,120.55K,-0.19%
08-10-2023,1852.46,1855.36,1865.94,1847.34,134.21K,-0.16%
08-09-2023,1855.36,1856.24,1870.48,1846.76,203.58K,-0.05%
08-08-2023,1856.24,1829.1,1871.77,1826.4,253.39K,1.48%
08-07-2023,1829.11,1830.28,1846.41,1805.3,243.92K,-0.06%
08-06-2023,1830.28,1836.48,1838.08,1826.12,100.32K,-0.34%
08-05-2023,1836.48,1830.24,1838.62,1827.52,103.08K,0.34%
08-04-2023,1830.24,1835.98,1849.13,1819.65,199.60K,-0.31%
08-03-2023,1835.98,1839.76,1858.62,1828.34,182.56K,-0.23%
08-02-2023,1840.21,1874.21,1879.32,1822.94,272.70K,-1.81%
08-01-2023,1874.21,1856.17,1875,1818.06,386.29K,0.97%
07/31/2023,1856.17,1861.81,1876.03,1851.42,177.97K,-0.30%
07/30/2023,1861.81,1880.55,1884.33,1851.63,167.77K,-1.00%
07/29/2023,1880.55,1874.23,1886.26,1869.74,79.76K,0.34%
07/28/2023,1874.23,1861.32,1882.23,1856.9,148.92K,0.69%
07/27/2023,1861.32,1872,1885.87,1855.4,176.21K,-0.57%
07/26/2023,1872,1857.67,1886.92,1849.43,286.61K,0.77%
07/25/2023,1857.67,1850.05,1867.36,1845.68,161.06K,0.41%
